Great Lakes + St. Clair Ice Cover,Percent of total cover
"""Source: National Ice Center"," Canadian Ice Service"""
Date,BasinCover
03/03/2013,30.92
03/04/2013,24.11
03/05/2013,25.07
03/06/2013,23.19
03/07/2013,24.85
03/08/2013,19.21
03/09/2013,17.11
03/10/2013,16.49
03/11/2013,13.85
03/12/2013,13.23
03/13/2013,11.18
03/14/2013,9.82
03/15/2013,11.38
03/16/2013,10.71
03/17/2013,12.09
03/18/2013,15.58
03/19/2013,12.16
03/20/2013,10.12
03/21/2013,11.04
03/22/2013,13.06
03/23/2013,12.88
03/24/2013,10.93
03/25/2013,8.53
03/26/2013,7.28
03/27/2013,6.81
03/28/2013,7.03
03/29/2013,9.14
03/30/2013,8.63
03/31/2013,7.94
04/01/2013,7.09
04/02/2013,5.56
04/03/2013,5.34
04/04/2013,5.29
04/05/2013,5.36
04/06/2013,5.66
04/07/2013,5.52
04/08/2013,5.77
04/09/2013,5.35
04/10/2013,4.97
04/11/2013,4.6
04/12/2013,4.04
04/13/2013,4.06
04/14/2013,4.12
04/15/2013,3.89
04/16/2013,3.9
04/17/2013,3.95
04/18/2013,3.8
04/19/2013,3.53
04/20/2013,3.48
04/21/2013,3.03
04/22/2013,2.79
04/23/2013,2.77
04/24/2013,2.52
04/25/2013,2.31
04/26/2013,1.95
04/27/2013,1.89
04/28/2013,1.65
04/29/2013,1.45
04/30/2013,1.26
05/01/2013,0.86
05/02/2013,0.68
05/03/2013,0.68
05/04/2013,0.78
05/05/2013,0.5
05/06/2013,0.46
05/07/2013,0.49
05/08/2013,0.48
05/09/2013,0.48
05/10/2013,0.45
05/11/2013,0.44
05/12/2013,0.44
05/13/2013,0.37
05/14/2013,0.37
05/15/2013,0.32
05/16/2013,0.31
05/17/2013,0.3
05/18/2013,0.28
05/19/2013,0.27
05/20/2013,0.28
05/21/2013,0.28
05/22/2013,0.08
05/23/2013,0.08
05/24/2013,0.07
05/25/2013,0.06
05/26/2013,0.04
05/27/2013,0.03
05/28/2013,0
05/29/2013,0
11/24/2013,0.19
11/25/2013,0.18
11/26/2013,0.2
11/27/2013,0.24
11/28/2013,0.84
11/29/2013,1.26
11/30/2013,1.57
12/01/2013,1.49
12/02/2013,0.98
12/03/2013,0.81
12/04/2013,0.7
12/05/2013,0.96
12/06/2013,0.93
12/07/2013,1.04
12/08/2013,1.06
12/09/2013,2.81
12/10/2013,4.14
12/11/2013,5.21
12/12/2013,7.62
12/13/2013,9.37
12/14/2013,10.22
12/15/2013,9.3
12/16/2013,12.35
12/17/2013,13.38
12/18/2013,11.22
12/19/2013,10.3
12/20/2013,10.91
12/21/2013,10.95
12/22/2013,9.59
12/23/2013,9.1
12/24/2013,9.49
12/25/2013,14.53
12/26/2013,16.01
12/27/2013,13.25
12/28/2013,9.43
12/30/2013,10.01
12/31/2013,16.16
01/01/2014,19.64
01/02/2014,26.04
01/03/2014,35.48
01/04/2014,27.61
01/05/2014,22.3
01/06/2014,23.64
01/07/2014,31.43
01/08/2014,38.67
01/09/2014,41.24
01/10/2014,42.39
01/11/2014,38.03
01/12/2014,27.84
01/13/2014,19.22
01/14/2014,20.85
01/15/2014,24.06
01/16/2014,24.29
01/17/2014,24.67
01/18/2014,29.25
01/19/2014,32.63
01/20/2014,33.67
01/21/2014,53.96
01/22/2014,58.57
01/23/2014,59.74
01/24/2014,57.85
01/25/2014,42.52
01/26/2014,50.74
01/27/2014,52.54
01/28/2014,63.8
01/29/2014,63.88
01/30/2014,65.83
01/31/2014,59.33
02/01/2014,61.76
02/02/2014,64.74
02/03/2014,71.56
02/04/2014,77.62
02/05/2014,77.12
02/06/2014,79.62
02/07/2014,78.98
02/08/2014,77.93
02/09/2014,78.19
02/10/2014,80.38
02/11/2014,87.13
02/12/2014,88.43
02/13/2014,84.66
02/14/2014,80.12
02/15/2014,80.88
02/16/2014,81.4
02/17/2014,81.54
02/18/2014,85.24
02/19/2014,80.26
02/20/2014,79.24
02/21/2014,69.1
02/22/2014,66.87
02/23/2014,61.71
02/24/2014,70.19
02/25/2014,77.25
02/26/2014,79.76
02/28/2014,85.4
03/01/2014,85.95
03/02/2014,90.5
03/03/2014,86.15
03/04/2014,91.07
03/05/2014,91.88
03/06/2014,92.52
03/07/2014,90.36
03/08/2014,90.8
03/09/2014,91.03
03/10/2014,83.93
03/11/2014,83.22
03/12/2014,84.12
03/13/2014,85.61
03/14/2014,78.78
03/15/2014,74.71
03/16/2014,75.22
03/17/2014,82.82
03/18/2014,82.11
03/19/2014,80.82
03/20/2014,76.96
03/21/2014,74.47
03/22/2014,72.86
03/23/2014,71.02
03/24/2014,77.4
03/25/2014,73.45
03/26/2014,74.27
03/27/2014,73.68
03/28/2014,71.13
03/29/2014,69.62
03/30/2014,71.97
03/31/2014,67.34
04/01/2014,69.02
04/02/2014,62.99
04/03/2014,65.68
04/04/2014,59.7
04/05/2014,59.81
04/06/2014,54.38
04/07/2014,52.95
04/08/2014,54.89
04/09/2014,53.45
04/10/2014,48.15
04/11/2014,49.15
04/12/2014,47.6
04/13/2014,47.81
04/14/2014,40.79
04/15/2014,39.14
04/16/2014,37.31
04/17/2014,39.47
04/18/2014,39.6
04/19/2014,36.86
04/20/2014,35.93
04/21/2014,40.12
04/22/2014,34.05
04/23/2014,35.11
04/24/2014,35.47
04/25/2014,35.95
04/26/2014,33.31
04/27/2014,32.99
04/28/2014,26.88
04/29/2014,28.71
04/30/2014,23.57
05/01/2014,20.83
05/02/2014,21.02
05/03/2014,21.32
05/04/2014,19.08
05/05/2014,16.06
05/06/2014,16.09
05/07/2014,16.13
05/08/2014,14.22
05/09/2014,12.79
05/10/2014,11.92
05/11/2014,9.16
05/12/2014,7.78
05/13/2014,8.24
05/14/2014,5.02
05/15/2014,5.33
05/16/2014,4.89
05/17/2014,3.38
05/18/2014,2.65
05/19/2014,2.41
05/20/2014,2.47
05/21/2014,1.65
05/22/2014,1.31
05/23/2014,1.09
05/24/2014,1.55
05/25/2014,1.7
05/26/2014,1.67
05/27/2014,1.11
05/28/2014,1.29
05/29/2014,0.82
05/30/2014,0.44
05/31/2014,0.48
06/01/2014,0.45
06/02/2014,0.47
06/03/2014,0.5
06/04/2014,0.21
06/05/2014,0
11/14/2014,0
11/15/2014,0.1
11/16/2014,0.15
11/17/2014,0.15
11/18/2014,0.4
11/20/2014,1.01
11/21/2014,0.9
11/22/2014,0.61
11/23/2014,0.57
11/24/2014,0.57
11/25/2014,0.4
11/26/2014,0.47
11/27/2014,0.52
11/28/2014,0.74
11/29/2014,0.88
11/30/2014,0.68
12/01/2014,0.72
12/02/2014,1.14
12/03/2014,1.09
12/04/2014,1.08
12/05/2014,1.14
12/06/2014,1.74
12/07/2014,1.52
12/08/2014,1.61
12/09/2014,1.59
12/10/2014,1.79
12/11/2014,1.83
12/12/2014,1.83
12/13/2014,1.35
12/14/2014,1.29
12/15/2014,1.3
12/16/2014,1.25
12/17/2014,1.14
12/18/2014,1.28
12/19/2014,1.91
12/20/2014,4.54
12/21/2014,4.64
12/22/2014,3.28
12/23/2014,1.93
12/24/2014,1.39
12/25/2014,1.2
12/26/2014,1.27
12/27/2014,1.02
12/28/2014,1.07
12/29/2014,1.79
12/30/2014,2.74
12/31/2014,5.44
01/01/2015,5.61
01/02/2015,6.75
01/03/2015,8.54
01/04/2015,8.24
01/05/2015,10.66
01/06/2015,11.46
01/07/2015,13.89
01/08/2015,18.46
01/09/2015,14.9
01/10/2015,19.53
01/11/2015,22.12
01/12/2015,24.87
01/13/2015,29
01/14/2015,33.91
01/15/2015,33.77
01/16/2015,23.64
01/17/2015,26.9
01/18/2015,22.47
01/19/2015,24.29
01/20/2015,29.83
01/21/2015,31.98
01/22/2015,33.57
01/23/2015,27.06
01/24/2015,22.39
01/25/2015,26.43
01/26/2015,33.43
01/27/2015,37.51
01/28/2015,41.22
01/29/2015,37.45
01/30/2015,34.66
01/31/2015,38.25
02/01/2015,37.66
02/02/2015,49.33
02/03/2015,49.89
02/04/2015,48.81
02/05/2015,56.93
02/06/2015,47.19
02/07/2015,48.45
02/08/2015,46.86
02/09/2015,53.74
02/10/2015,57.59
02/11/2015,63.24
02/12/2015,60.35
02/13/2015,68.2
02/14/2015,64.84
02/15/2015,69.72
02/16/2015,76.58
02/17/2015,82.24
02/18/2015,85.43
02/19/2015,80.83
02/20/2015,84.03
02/21/2015,82.8
02/22/2015,84.43
02/23/2015,85.6
02/24/2015,84.46
02/25/2015,85.46
02/26/2015,84.05
02/27/2015,86.83
02/28/2015,88.76
03/01/2015,88.33
03/02/2015,78.58
03/03/2015,77.72
03/04/2015,80.39
03/05/2015,83.13
03/06/2015,83.63
03/07/2015,82.25
03/08/2015,78.46
03/09/2015,73.61
03/10/2015,68.48
03/11/2015,64.13
03/12/2015,65.39
03/13/2015,66.36
03/14/2015,63.05
03/15/2015,60.29
03/16/2015,58.85
03/17/2015,54.87
03/18/2015,52
03/19/2015,52.29
03/20/2015,52.87
03/21/2015,53.35
03/22/2015,51.28
03/23/2015,53.45
03/24/2015,61.04
03/25/2015,57.51
03/26/2015,51.09
03/27/2015,52.64
03/28/2015,53.58
03/29/2015,51.9
03/30/2015,44.53
03/31/2015,45.15
04/01/2015,47.54
04/02/2015,43.71
04/04/2015,35.63
04/05/2015,35.48
04/06/2015,37.85
04/07/2015,39.31
04/08/2015,41.17
04/09/2015,40.64
04/10/2015,39.3
04/11/2015,27.42
04/12/2015,26.89
04/13/2015,25.26
04/14/2015,20.19
04/15/2015,19.39
04/16/2015,19.39
04/17/2015,17.82
04/18/2015,16.09
04/19/2015,14.25
04/20/2015,14.1
04/21/2015,12.91
04/22/2015,8.82
04/23/2015,7.62
04/24/2015,7.38
04/25/2015,7.7
04/26/2015,7.48
04/27/2015,6.68
04/28/2015,6.87
04/29/2015,6.47
04/30/2015,5.73
05/01/2015,5.6
05/02/2015,5.39
05/03/2015,4.79
05/04/2015,3.89
05/05/2015,2.98
05/06/2015,3.22
05/07/2015,3.23
05/08/2015,2.18
05/09/2015,1.76
05/10/2015,1.42
05/11/2015,1.24
05/12/2015,1.23
05/13/2015,0.79
05/14/2015,0.85
05/15/2015,0.61
05/16/2015,0.51
05/17/2015,0.48
05/18/2015,0.4
05/19/2015,0.2
05/20/2015,0.2
05/21/2015,0.2
05/22/2015,0.1
05/23/2015,0.1
05/24/2015,0.0
05/25/2015,0.0
05/26/2015,0.0
05/27/2015,0.0
05/28/2015,0.0
11/27/2015,0.0
11/28/2015,0.0
11/29/2015,0.0
11/30/2015,0.1
12/01/2015,0.0
12/02/2015,0.0
12/03/2015,0.0
12/04/2015,0.0
12/05/2015,0.0
12/06/2015,0.0
12/07/2015,0.0
12/08/2015,0.0
12/09/2015,0.0
12/10/2015,0.0
12/11/2015,0.0
12/12/2015,0.0
12/13/2015,0.0
12/14/2015,0.0
12/15/2015,0.0
12/16/2015,0.0
12/17/2015,0.0
12/18/2015,0.0
12/19/2015,0.2
12/20/2015,0.2
12/21/2015,0.2
12/22/2015,0.2
12/23/2015,0.2
12/24/2015,0.3
12/26/2015,0.2
12/27/2015,0.3
12/28/2015,0.4
12/29/2015,0.4
12/30/2015,0.6
12/31/2015,0.7
01/01/2016,0.6
01/02/2016,0.6
01/03/2016,0.7
01/04/2016,1.1
01/05/2016,1.8
01/06/2016,2.2
01/07/2016,2.1
01/08/2016,1.5
01/09/2016,1.4
01/10/2016,1.7
01/11/2016,3.8
01/12/2016,4.3
01/13/2016,5.9
01/14/2016,6.3
01/15/2016,6.4
01/16/2016,6.4
01/17/2016,9.5
01/18/2016,9.6
01/19/2016,12.0
01/20/2016,14.5
01/21/2016,15.2
01/22/2016,15.5
01/23/2016,15.0
01/24/2016,14.6
01/25/2016,11.1
01/26/2016,9.7
01/27/2016,9.4
01/28/2016,8.0
01/29/2016,11.2
01/30/2016,9.8
01/31/2016,7.9
02/01/2016,5.0
02/02/2016,5.7
02/03/2016,5.6
02/04/2016,7.15
02/05/2016,7.69
02/06/2016,7.69
02/07/2016,5.98
02/08/2016,4.7
02/09/2016,5.86
02/10/2016,7.82
02/11/2016,12.22
02/12/2016,17.42
02/13/2016,23.86
02/14/2016,33.81
02/15/2016,27.2
02/16/2016,23.31
02/17/2016,19.91
02/18/2016,25.78
02/19/2016,23.03
02/20/2016,17.95
02/21/2016,12.38
02/22/2016,12.33
02/23/2016,12.29
02/24/2016,12.67
02/25/2016,11.53
02/26/2016,9
02/27/2016,7.92
02/28/2016,6.81
02/29/2016,10.38
03/01/2016,10.61
03/02/2016,16.25
03/03/2016,19.4
03/04/2016,19.35
03/05/2016,18.49
03/06/2016,16.08
03/07/2016,9.53
03/08/2016,8.43
03/09/2016,7.66
03/10/2016,7.06
03/11/2016,7.06
03/12/2016,5.9
03/13/2016,5.78
03/14/2016,5.15
03/15/2016,5.34
03/16/2016,3.88
03/17/2016,2.65
03/18/2016,2.45
03/19/2016,4.24
03/20/2016,3.29
03/21/2016,1.69
03/22/2016,1.54
03/23/2016,1.54
03/24/2016,1.44
03/25/2016,1.52
03/26/2016,1.39
03/27/2016,1.25
03/28/2016,1.24
03/29/2016,1.19
03/30/2016,1.24
03/31/2016,1.26
04/01/2016,1.27
04/02/2016,1.23
04/03/2016,0.92
04/04/2016,0.9
04/05/2016,1.09
04/06/2016,0.94
04/07/2016,0.9
04/08/2016,0.84
04/09/2016,0.81
04/10/2016,0.62
04/11/2016,0.8
04/12/2016,0.82
04/13/2016,0.81
04/14/2016,0.79
04/15/2016,0.74
04/16/2016,0.56
04/17/2016,0.73
04/18/2016,0.74
04/19/2016,0.71
04/20/2016,0.72
04/21/2016,0.71
04/22/2016,0.71
04/23/2016,0.59
04/24/2016,0.46
04/25/2016,0.46
04/26/2016,0.41
04/27/2016,0.34
04/28/2016,0.35
04/29/2016,0.35
04/30/2016,0.12
05/01/2016,0.2
05/02/2016,0.09
05/03/2016,0.09
05/04/2016,0.09
05/05/2016,0
